Simulation	-100	-50	0	50	100	150	200	250	300	350	400	450	500	550	600	650
107	0	0	0	0.01	0.01	0.03	0.06	0.16	0.31	0.68	0.82	0.97	0.97	0.94	0.93	0.94
108	0	0	0	0.01	0.01	0.02	0.07	0.18	0.27	0.69	0.84	0.95	0.95	0.96	0.93	0.91
109	0	0	0.01	0.01	0.01	0.02	0.05	0.17	0.27	0.67	0.85	0.94	0.96	0.95	0.91	0.97
110	0	0.02	0	0.01	0	0.03	0.05	0.19	0.29	0.67	0.81	0.93	0.99	0.96	0.91	0.94
111	0	0	0	0	0	0.02	0.06	0.18	0.28	0.7	0.81	0.95	0.96	0.95	0.93	0.93
112	0	0	0	0	0.01	0.03	0.05	0.17	0.3	0.65	0.83	0.95	0.96	0.94	0.94	0.96
113	0	0	0.01	0	0	0.03	0.05	0.18	0.28	0.68	0.84	0.98	0.96	0.96	0.93	0.88
114	0	0	0	0	0.01	0.03	0.06	0.16	0.29	0.66	0.86	0.93	0.97	0.94	0.91	0.95
115	0	0	0.01	0	0.01	0.02	0.05	0.17	0.31	0.69	0.81	0.97	0.95	0.97	0.89	0.96
116	0	0	0	0	0.01	0.02	0.06	0.19	0.28	0.65	0.82	0.95	0.98	0.97	0.92	0.91
117	0	0	0	0	0	0.02	0.04	0.2	0.28	0.7	0.82	0.92	0.98	0.95	0.92	0.93
118	0	0	0	0	0.01	0.02	0.06	0.18	0.29	0.67	0.84	0.95	0.98	0.92	0.94	0.93
119	0	0	0	0	0	0.03	0.05	0.19	0.27	0.69	0.83	0.94	0.95	0.92	0.94	0.94
120	0	0	0	0.01	0.01	0.02	0.05	0.18	0.29	0.66	0.8	0.95	0.98	0.94	0.92	0.94
121	0	0	0	0.01	0.01	0.03	0.05	0.19	0.28	0.64	0.86	0.94	0.97	0.91	0.96	0.96
122	0	0	0	0	0.01	0.02	0.04	0.19	0.29	0.68	0.86	0.93	0.97	0.95	0.91	0.93
123	0.02	0	0	0	0.01	0.03	0.05	0.19	0.29	0.7	0.81	0.94	0.99	0.93	0.96	0.91
124	0	0	0.01	0	0.01	0.03	0.04	0.21	0.26	0.66	0.83	0.94	0.95	0.97	0.89	0.93
125	0	0.02	0.01	0	0.01	0.03	0.06	0.17	0.27	0.7	0.82	0.93	0.96	0.93	0.95	0.93
126	0	0.02	0	0	0.01	0.02	0.05	0.18	0.3	0.66	0.79	0.96	0.98	0.94	0.91	0.96
127	0	0	0	0	0	0.02	0.06	0.17	0.28	0.7	0.82	0.97	0.96	0.93	0.93	0.95
128	0.02	0	0	0	0.01	0.03	0.05	0.17	0.29	0.65	0.86	0.94	0.95	0.95	0.93	0.95
129	0	0	0.01	0	0.01	0.02	0.06	0.2	0.27	0.69	0.82	0.93	0.97	0.94	0.92	0.94
130	0	0	0	0	0.01	0.02	0.06	0.18	0.3	0.65	0.83	0.95	0.98	0.94	0.92	0.89
131	0.02	0	0	0	0.01	0.02	0.06	0.16	0.29	0.7	0.84	0.94	0.97	0.96	0.94	0.9
132	0	0	0.01	0	0	0.03	0.04	0.19	0.27	0.66	0.82	0.97	0.97	0.93	0.93	0.93
133	0	0	0	0	0.01	0.02	0.06	0.17	0.28	0.72	0.82	0.96	0.96	0.94	0.92	0.97
134	0	0	0	0	0.02	0.02	0.06	0.17	0.29	0.68	0.83	0.95	0.98	0.93	0.93	0.95
135	0	0	0	0	0.01	0.02	0.05	0.17	0.29	0.73	0.83	0.95	0.97	0.91	0.93	0.95
136	0	0	0	0.01	0.01	0.03	0.05	0.17	0.29	0.67	0.85	0.94	0.96	0.94	0.94	0.92
137	0	0	0	0	0	0.02	0.07	0.16	0.3	0.68	0.82	0.97	0.96	0.93	0.94	0.91
138	0	0	0.01	0.01	0.01	0.02	0.06	0.17	0.26	0.7	0.8	0.96	0.96	0.95	0.94	0.93
139	0	0	0	0	0.01	0.02	0.05	0.18	0.29	0.67	0.84	0.95	0.96	0.94	0.94	0.93
140	0	0	0.01	0.01	0	0.02	0.05	0.18	0.3	0.65	0.81	0.95	0.97	0.96	0.91	0.91
141	0	0	0.01	0	0.01	0.03	0.04	0.2	0.28	0.63	0.85	0.93	0.99	0.95	0.93	0.93
142	0	0	0	0.01	0.01	0.02	0.04	0.2	0.28	0.71	0.8	0.95	0.96	0.96	0.9	0.95
143	0	0	0.01	0	0.01	0.02	0.06	0.2	0.28	0.63	0.83	0.96	0.97	0.95	0.9	0.96
144	0	0	0.01	0.01	0	0.02	0.07	0.19	0.25	0.63	0.83	0.95	0.98	0.93	0.95	0.91
145	0	0	0	0	0	0.02	0.06	0.19	0.28	0.66	0.83	0.92	0.98	0.95	0.91	0.95
146	0	0	0	0	0.01	0.02	0.05	0.18	0.27	0.69	0.83	0.94	0.98	0.95	0.92	0.91
147	0	0	0.01	0.01	0.01	0.02	0.05	0.17	0.31	0.69	0.82	0.96	0.97	0.94	0.93	0.92
148	0	0	0	0	0.01	0.02	0.06	0.18	0.3	0.68	0.82	0.95	0.96	0.93	0.92	0.96
